time_enter,time_exit,camera_id,person_id,role,identity,dwell_seconds
11:39:39.44,12:21:36.28,cam3,P0545,customer,unknown,2516.8
11:35:43.15,11:40:26.03,cam3,P0530,worker,w3,282.9
11:39:28.20,12:22:17.07,cam3,P0542,customer,unknown,2568.9
11:39:41.28,12:23:14.14,cam3,P0546,customer,unknown,2612.9
11:57:40.36,11:58:25.36,cam2,P0550,worker,w1,45.0
12:22:53.22,12:23:36.13,cam1,P0553,worker,w1,42.9
11:41:16.05,11:41:53.36,cam3,P0554,customer,unknown,37.3
11:41:35.89,12:23:49.41,cam3,P0559,customer,identifying,2533.5
11:41:20.37,11:58:36.96,cam3,P0555,customer,unknown,1036.6
11:41:26.97,11:58:37.68,cam3,P0557,customer,unknown,1030.7
11:41:35.25,11:41:57.16,cam3,P0558,customer,unknown,21.9
11:56:34.16,11:58:57.12,cam2,P0548,worker,w2,143.0
11:42:25.03,12:24:38.07,cam3,P0567,customer,identifying,2533.0
12:24:50.51,12:25:11.46,cam1,P0568,customer,identifying,20.9
11:40:25.19,12:00:22.93,cam3,P0549,customer,unknown,1197.7
11:39:47.32,12:00:23.81,cam3,P0547,worker,w3,1236.5
11:41:35.89,12:25:42.61,cam3,P0560,customer,unknown,2646.7
11:59:09.04,12:00:53.16,cam2,P0566,worker,w2,104.1
12:25:46.77,12:26:05.49,cam1,P0572,customer,identifying,18.7
12:26:01.25,12:26:24.48,cam1,P0574,customer,identifying,23.2
12:26:26.88,12:26:52.00,cam1,P0576,worker,w2,25.1
12:01:16.72,12:01:49.88,cam2,P0577,customer,identifying,33.2
11:43:58.01,12:01:49.10,cam3,P0573,customer,unknown,1071.1
12:26:26.52,12:27:09.51,cam1,P0575,worker,w3,43.0
11:42:17.67,11:45:01.75,cam3,P0565,worker,w2,164.1
11:43:45.97,12:02:02.70,cam3,P0571,customer,unknown,1096.7
12:00:33.12,12:02:50.68,cam2,P0570,worker,w1,137.6
11:45:35.46,12:03:33.79,cam3,P0580,customer,unknown,1078.3
11:46:11.73,12:29:10.40,cam3,P0583,customer,unknown,2578.7
12:27:48.90,12:29:23.51,cam1,P0582,worker,w2,94.6
12:02:34.80,12:04:09.84,cam2,P0581,worker,w1,95.0
11:47:29.15,11:47:50.74,cam3,P0587,customer,unknown,21.6
12:29:42.75,12:30:20.86,cam1,P0588,worker,w3,38.1
12:04:30.08,12:30:24.44,cam2,P0588,worker,w3,1554.4
11:47:19.35,12:30:42.69,cam3,P0586,customer,unknown,2603.3
11:48:05.26,12:31:06.32,cam3,P0589,customer,unknown,2581.1
11:48:38.65,12:32:26.54,cam3,P0579,worker,w2,2627.9
12:02:20.56,12:32:30.16,cam2,P0579,worker,w2,1809.6
12:06:20.44,12:32:35.20,cam2,P0595,worker,w2,1574.8
11:43:40.01,12:06:45.10,cam3,P0569,worker,w3,1385.1
12:05:45.44,12:07:30.68,cam2,P0592,worker,w3,105.2
12:32:02.27,12:33:23.64,cam1,P0594,worker,w2,81.4
12:07:35.32,12:07:57.08,cam2,P0602,customer,identifying,21.8
11:50:13.86,12:33:42.76,cam3,P0599,customer,unknown,2608.9
11:50:23.46,11:50:47.61,cam3,P0601,customer,unknown,24.1
11:50:15.34,12:33:47.80,cam3,P0600,customer,unknown,2612.5
11:50:11.34,12:08:38.27,cam3,P0597,customer,unknown,1106.9
11:50:59.93,11:51:34.40,cam3,P0603,customer,unknown,34.5
11:51:07.36,12:35:14.25,cam3,P0604,worker,w3,2646.9
11:46:23.48,12:09:48.13,cam3,P0584,customer,unknown,1404.6
11:51:16.80,12:09:51.44,cam3,P0606,customer,unknown,1114.6
11:51:51.27,12:35:47.72,cam3,P0610,customer,unknown,2636.4
11:49:45.47,12:10:48.11,cam3,P0596,worker,w1,1262.6
11:52:32.98,12:36:32.71,cam3,P0611,customer,unknown,2639.7
11:51:14.64,11:53:11.93,cam3,P0605,customer,unknown,117.3
11:52:52.61,12:10:58.51,cam3,P0615,customer,identifying,1085.9
11:53:27.84,12:37:13.70,cam3,P0618,customer,identifying,2625.8
11:53:17.29,11:53:51.20,cam3,P0617,customer,unknown,33.9
12:10:29.64,12:37:58.92,cam2,P0613,worker,w2,1649.3
11:54:02.75,12:12:08.41,cam3,P0623,customer,identifying,1085.7
11:32:46.80,12:12:09.49,cam3,P0518,customer,unknown,2362.7
11:54:20.59,12:12:32.52,cam3,P0625,customer,identifying,1091.9
11:54:32.55,11:54:48.98,cam3,P0627,customer,identifying,16.4
11:54:56.66,11:55:19.09,cam3,P0631,customer,identifying,22.4
11:48:08.01,11:55:20.49,cam3,P0590,worker,w2,432.5
11:54:31.07,11:55:21.73,cam3,P0626,customer,unknown,50.7
11:54:33.31,11:55:22.49,cam3,P0628,worker,w1,49.2
11:55:12.41,12:39:22.70,cam3,P0633,customer,identifying,2650.3
12:12:38.00,12:40:11.52,cam2,P0629,worker,w3,1653.5
12:33:04.25,12:40:31.16,cam1,P0598,worker,w1,446.9
11:55:25.97,12:40:49.96,cam3,P0635,customer,unknown,2724.0
11:54:05.87,12:40:57.67,cam3,P0624,worker,w1,2811.8
12:11:48.64,12:15:24.76,cam2,P0622,worker,w2,216.1
12:40:01.61,12:41:29.75,cam1,P0614,worker,w2,88.1
11:52:46.54,12:41:29.75,cam3,P0614,worker,w2,2923.2
12:15:30.44,12:16:05.08,cam2,P0642,worker,w2,34.6
11:56:55.35,12:41:41.86,cam3,P0645,customer,unknown,2686.5
11:56:25.79,12:41:48.86,cam3,P0641,worker,w3,2723.1
12:41:14.03,12:41:53.90,cam1,P0647,worker,w4,39.9
11:51:34.52,11:58:10.64,cam3,P0609,worker,w2,396.1
11:58:02.93,12:17:16.28,cam3,P0654,worker,w3,1153.3
12:40:49.36,12:42:37.73,cam1,P0644,worker,w2,108.4
11:57:22.14,12:17:40.27,cam3,P0649,customer,unknown,1218.1
11:58:39.64,12:42:55.60,cam3,P0657,customer,identifying,2656.0
12:42:03.30,12:43:11.96,cam1,P0655,worker,w1,68.7
11:59:06.99,12:18:13.90,cam3,P0658,customer,identifying,1146.9
11:59:12.11,11:59:30.54,cam3,P0646,worker,w2,18.4
11:53:51.56,12:18:21.42,cam3,P0621,customer,unknown,1469.9
11:59:16.31,12:43:54.54,cam3,P0660,customer,unknown,2678.2
11:59:19.18,12:44:08.22,cam3,P0661,customer,unknown,2689.0
11:59:37.06,12:44:09.54,cam3,P0662,customer,unknown,2672.5
12:41:14.27,12:44:52.89,cam1,P0648,worker,w2,218.6
12:44:12.18,12:44:57.09,cam1,P0663,customer,unknown,44.9
12:19:13.48,12:45:00.92,cam2,P0663,customer,unknown,1547.4
12:00:07.53,12:45:24.92,cam3,P0664,customer,unknown,2717.4
12:00:09.13,12:45:24.92,cam3,P0665,customer,unknown,2715.8
12:19:48.64,12:20:08.16,cam2,P0667,customer,identifying,19.5
12:00:09.13,12:20:06.67,cam3,P0666,customer,unknown,1197.5
12:17:53.28,12:20:44.60,cam2,P0656,worker,w2,171.3
12:01:05.83,12:46:20.06,cam3,P0669,customer,unknown,2714.2
12:01:05.11,12:20:55.86,cam3,P0668,customer,unknown,1190.7
12:01:28.83,12:01:48.74,cam3,P0671,customer,identifying,19.9
12:46:32.26,12:46:51.89,cam1,P0674,customer,identifying,19.6
12:21:00.84,12:46:55.76,cam2,P0674,customer,identifying,1554.9
12:46:35.86,12:46:56.13,cam1,P0676,customer,identifying,20.3
12:01:53.62,12:21:36.32,cam3,P0677,customer,identifying,1182.7
12:21:15.64,12:21:56.52,cam2,P0675,worker,w2,40.9
12:02:16.37,12:22:30.55,cam3,P0681,customer,unknown,1214.2
12:47:03.85,12:47:55.60,cam1,P0680,worker,w2,51.8
11:57:50.77,12:47:55.84,cam3,P0653,worker,w2,3005.1
12:03:02.72,12:23:04.38,cam3,P0689,customer,unknown,1201.7
12:02:10.74,12:23:07.62,cam3,P0678,customer,unknown,1256.9
12:03:17.16,12:23:10.74,cam3,P0690,customer,identifying,1193.6
12:03:17.44,12:03:43.07,cam3,P0691,customer,unknown,25.6
12:48:12.47,12:48:43.02,cam1,P0692,worker,w1,30.6
12:02:13.49,12:23:56.52,cam3,P0679,customer,unknown,1303.0
12:04:02.58,12:24:14.84,cam3,P0698,customer,unknown,1212.3
12:04:29.90,12:49:49.08,cam3,P0703,customer,unknown,2719.2
12:03:55.07,12:49:50.56,cam3,P0696,customer,unknown,2755.5
11:57:29.82,12:25:15.46,cam3,P0650,worker,w2,1665.7
12:03:49.15,12:50:03.08,cam3,P0693,worker,w2,2773.9
12:23:20.72,12:50:07.00,cam2,P0693,customer,identifying,1606.3
12:04:28.14,12:25:42.45,cam3,P0702,customer,unknown,1274.3
12:05:25.24,12:51:02.94,cam3,P0707,customer,unknown,2737.7
12:05:33.36,12:26:38.20,cam3,P0708,customer,unknown,1264.8
12:06:15.55,12:51:31.45,cam3,P0712,customer,identifying,2715.9
12:49:17.97,12:51:34.57,cam1,P0701,worker,w1,136.6
12:26:29.48,12:51:38.52,cam2,P0701,worker,w1,1509.0
12:51:15.42,12:51:37.01,cam1,P0711,worker,w3,21.6
12:06:13.35,12:51:37.01,cam3,P0711,customer,identifying,2723.7
12:06:38.38,12:51:55.41,cam3,P0715,customer,identifying,2717.0
12:25:47.04,12:28:13.72,cam2,P0706,worker,w2,146.7
12:07:06.81,12:52:32.28,cam3,P0716,customer,unknown,2725.5
12:28:59.60,12:53:03.76,cam2,P0721,worker,w2,1444.2
12:07:48.16,12:53:11.51,cam3,P0722,worker,w1,2723.3
12:06:15.27,12:08:32.15,cam3,P0709,worker,w2,136.9
12:53:02.51,12:53:31.50,cam1,P0723,customer,unknown,29.0
12:51:08.82,12:53:39.62,cam1,P0710,worker,w3,150.8
12:27:20.80,12:30:30.84,cam2,P0714,worker,w3,190.0
12:30:11.60,12:30:39.12,cam2,P0724,worker,w1,27.5
12:08:43.02,12:30:36.13,cam3,P0725,worker,w2,1313.1
12:09:11.54,12:31:15.64,cam3,P0728,worker,w3,1324.1
12:54:19.29,12:54:38.16,cam1,P0729,customer,identifying,18.9
12:09:28.01,12:31:28.96,cam3,P0731,customer,identifying,1320.9
12:09:23.77,12:31:41.35,cam3,P0730,customer,unknown,1337.6
12:04:13.90,12:31:56.71,cam3,P0699,worker,w2,1662.8
12:28:31.16,12:32:40.68,cam2,P0719,worker,w1,249.5
11:56:13.08,12:32:51.33,cam3,P0640,worker,w1,2198.3
12:10:16.68,12:33:08.09,cam3,P0736,worker,w2,1371.4
12:10:39.31,12:33:31.32,cam3,P0741,customer,identifying,1372.0
12:10:25.20,12:33:33.84,cam3,P0739,customer,unknown,1388.7
12:09:57.48,12:11:14.14,cam3,P0732,customer,unknown,76.7
12:11:03.14,12:56:40.97,cam3,P0745,customer,identifying,2737.8
12:11:01.15,12:34:25.39,cam3,P0744,customer,unknown,1404.2
12:56:53.12,12:57:14.32,cam1,P0748,customer,unknown,21.2
12:32:58.92,12:35:03.36,cam2,P0740,worker,w2,124.4
12:11:35.14,12:57:18.52,cam3,P0750,customer,identifying,2743.4
12:11:20.94,12:57:33.03,cam3,P0747,customer,unknown,2772.1
12:11:41.81,12:35:29.85,cam3,P0751,customer,unknown,1428.0
12:09:58.96,12:12:12.56,cam3,P0733,customer,unknown,133.6
12:10:13.88,12:12:53.87,cam3,P0735,worker,w1,160.0
