time,camera_id,people,workers,customers,counter_people,store_hall_people,global_workers
09:18:04.48,cam2,0,0,0,0,0,1
09:21:27.54,cam1,0,0,0,0,0,1
09:14:12.31,cam3,3,1,2,0,2,1
09:18:39.52,cam2,0,0,0,0,0,1
09:21:57.02,cam1,0,0,0,0,0,1
09:14:33.11,cam3,3,1,2,0,2,1
09:19:09.56,cam2,0,0,0,0,0,0
09:22:31.33,cam1,0,0,0,0,0,0
09:14:53.14,cam3,3,0,3,0,1,0
09:19:35.12,cam2,0,0,0,0,0,1
09:22:55.20,cam1,0,0,0,0,2,1
09:15:12.94,cam3,3,1,2,0,2,1
09:20:03.84,cam2,0,0,0,0,0,1
09:23:26.95,cam1,0,0,0,0,1,1
09:15:32.97,cam3,2,1,1,0,1,1
09:20:35.68,cam2,0,0,0,0,0,0
09:23:52.30,cam1,0,0,0,0,0,0
09:15:52.88,cam3,2,0,2,0,1,0
09:20:58.56,cam2,1,1,0,1,0,1
09:24:17.49,cam1,0,0,0,0,0,1
09:16:12.80,cam3,2,1,1,0,1,1
09:21:18.08,cam2,0,0,0,0,0,1
09:24:46.41,cam1,0,0,0,0,0,1
09:16:32.55,cam3,2,1,1,0,1,1
09:21:40.40,cam2,0,0,0,0,0,1
09:25:15.44,cam1,1,0,1,0,1,1
09:16:52.39,cam3,2,1,1,0,1,1
09:22:08.64,cam2,0,0,0,0,0,1
09:25:46.87,cam1,0,0,0,0,1,1
09:17:11.98,cam3,2,1,1,0,1,1
09:22:35.40,cam2,0,0,0,0,0,0
09:26:21.06,cam1,0,0,0,0,0,0
09:17:32.57,cam3,1,0,1,0,0,0
09:22:55.40,cam2,0,0,0,0,0,1
09:26:55.81,cam1,0,0,0,0,0,1
09:17:52.97,cam3,3,1,2,0,2,1
09:27:34.68,cam1,0,0,0,0,0,0
09:23:26.96,cam2,1,0,1,1,0,0
09:18:13.44,cam3,3,0,3,0,1,0
09:28:07.95,cam1,0,0,0,0,0,0
09:23:46.12,cam2,0,0,0,1,0,0
09:18:33.72,cam3,2,0,2,0,1,0
09:28:42.14,cam1,0,0,0,0,0,0
09:24:06.44,cam2,0,0,0,0,0,0
09:18:53.63,cam3,1,0,1,0,0,0
09:29:12.01,cam1,0,0,0,0,0,1
09:24:25.08,cam2,0,0,0,0,0,1
09:19:13.71,cam3,2,1,1,0,2,1
09:29:48.12,cam1,0,0,0,0,0,0
09:24:47.52,cam2,1,0,1,1,0,0
09:19:33.82,cam3,1,0,1,0,0,0
09:30:18.87,cam1,1,1,0,0,1,1
09:25:08.00,cam2,1,0,1,1,0,1
09:19:53.17,cam3,2,0,2,0,1,1
09:30:50.78,cam1,0,0,0,0,0,0
09:25:38.24,cam2,0,0,0,0,0,0
09:20:12.41,cam3,4,1,3,0,3,1
09:31:25.09,cam1,0,0,0,0,0,0
09:26:02.44,cam2,0,0,0,0,0,0
09:20:31.44,cam3,2,0,2,0,0,0
09:31:53.16,cam1,0,0,0,0,0,1
09:26:33.28,cam2,0,0,0,0,0,1
09:20:50.76,cam3,3,1,2,0,2,1
09:32:20.39,cam1,0,0,0,0,0,0
09:27:10.00,cam2,0,0,0,0,0,0
09:21:08.71,cam3,4,1,3,0,3,1
09:32:43.55,cam1,0,0,0,0,0,1
09:27:45.88,cam2,0,0,0,0,0,1
09:21:27.07,cam3,3,1,2,0,2,1
09:33:09.10,cam1,0,0,0,0,0,0
09:28:07.64,cam2,0,0,0,0,0,0
09:21:46.90,cam3,3,0,3,0,2,0
09:33:35.93,cam1,0,0,0,0,0,2
09:28:29.60,cam2,1,1,0,1,0,2
09:22:04.94,cam3,4,1,3,0,2,1
09:34:07.52,cam1,0,0,0,0,0,0
09:28:59.88,cam2,0,0,0,0,0,0
09:22:23.09,cam3,3,0,3,0,2,0
09:34:37.63,cam1,0,0,0,0,0,1
09:29:21.72,cam2,0,0,0,0,0,1
09:22:41.20,cam3,3,0,3,0,2,0
09:35:12.66,cam1,0,0,0,0,0,0
09:29:43.12,cam2,0,0,0,0,0,0
09:23:01.16,cam3,2,0,2,0,1,0
09:35:48.65,cam1,0,0,0,0,0,0
09:30:10.72,cam2,0,0,0,0,0,0
09:23:21.71,cam3,2,0,2,0,1,0
09:36:13.69,cam1,0,0,0,0,0,1
09:30:37.48,cam2,1,1,0,1,0,1
09:23:39.51,cam3,3,0,3,0,2,1
09:36:39.00,cam1,0,0,0,0,0,1
09:30:59.16,cam2,0,0,0,0,0,1
09:23:56.34,cam3,5,1,4,0,3,1
09:37:02.35,cam1,0,0,0,0,0,0
09:31:27.60,cam2,0,0,0,0,0,0
09:24:14.74,cam3,3,0,3,0,2,0
09:37:32.70,cam1,0,0,0,0,0,0
09:31:55.48,cam2,0,0,0,0,0,0
09:24:33.25,cam3,3,0,3,0,2,0
09:38:00.29,cam1,0,0,0,0,0,2
09:32:17.24,cam2,0,0,0,0,0,2
09:24:50.61,cam3,4,3,1,0,2,2
09:38:25.89,cam1,0,0,0,0,0,1
09:32:38.72,cam2,0,0,0,0,0,1
09:25:07.48,cam3,4,1,3,0,3,1
09:38:49.08,cam1,0,0,0,0,0,0
09:32:59.32,cam2,1,0,1,1,0,0
09:25:27.16,cam3,1,0,1,0,0,1
09:39:16.31,cam1,0,0,0,0,0,0
09:33:19.04,cam2,0,0,0,0,0,0
09:25:47.11,cam3,3,1,2,0,2,1
09:39:41.42,cam1,0,0,0,0,0,1
09:33:41.52,cam2,0,0,0,0,0,1
